Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
94,Jae Crowder\crowdja01,SF,28,UTA,7,215,14.5,0.584,0.606,0.409,4.3,16.9,10.8,8.6,1.1,0,1.3,15.5,,0.5,0.2,0.8,0.17,,2.6,0.3,2.9,0.3
95,Dante Cunningham\cunnida01,PF,31,SAS,7,142,6.6,0.421,0.364,0.182,4.4,17.8,10.8,6,1.4,0.6,7.8,7.8,,0,0.1,0.1,0.049,,-3.6,1.2,-2.5,0
96,Seth Curry\curryse01,SG,28,POR,8,149,7.5,0.579,0.488,0.024,1.5,6.2,4.1,8.1,0,0.5,12.6,13.5,,0.1,0.1,0.2,0.059,,-0.2,-1.5,-1.7,0
97,Stephen Curry\curryst01,PG,30,GSW,9,306,32.5,0.734,0.571,0.253,1.2,14.1,8.1,26.8,1.8,0.6,11,31.3,,1.8,0.3,2.1,0.326,,12.8,-2.5,10.3,1
98,Troy Daniels\danietr01,SG,27,PHO,4,37,9.1,0.453,0.733,0.067,2.9,9.6,6.1,16.5,5.1,0,16.3,21.6,,-0.1,0,0,-0.043,,-1.8,-0.7,-2.5,0
99,Anthony Davis\davisan02,C,25,NOP,5,185,29.1,0.577,0.124,0.517,10,27.9,18.7,20.2,2.5,7.2,6.8,25.3,,0.7,0.3,0.9,0.24,,4.8,5,9.7,0.6
100,Ed Davis\davised01,C,29,BRK,8,136,19.9,0.618,0,0.457,21.2,32.3,27,7.8,0.7,1.6,16,15.8,,0.3,0.2,0.5,0.183,,-0.2,0.7,0.5,0.1
101,Dewayne Dedmon\dedmode01,C,29,ATL,5,92,17.5,0.585,0.276,0.207,6.5,27.9,17.1,4.9,1,7.9,3.1,14.4,,0.2,0.1,0.3,0.161,,-3.5,2.6,-0.9,0
102,Sam Dekker\dekkesa01,PF,24,CLE,7,131,16.2,0.571,0.257,0.229,7.3,20.8,13.5,8.7,4.1,0,11.5,14,,0.2,0.1,0.3,0.103,,0.9,0,0.9,0.1
103,Matthew Dellavedova\dellama01,PG,28,MIL,4,25,4.2,0.5,0.667,0,0,6.9,3.9,20.3,0,0,25,19.7,,0,0,0,-0.009,,-4.1,-2.2,-6.4,0
104,Luol Deng\denglu01,SF,33,MIN,1,12,11.6,0.286,0.429,0,26.2,17.4,21.8,0,0,6.5,0,23.8,,0,0,0,-0.083,,-6.3,-7.8,-14.1,0
105,DeMar DeRozan\derozde01,SG,29,SAS,7,261,25.9,0.587,0.075,0.315,1.6,15.8,8.4,34.1,1.7,0.6,8.3,30,,0.9,0.2,1.2,0.213,,4.7,-0.4,4.4,0.4
106,Cheick Diallo\diallch01,PF,22,NOP,5,50,20.2,0.577,0,0.526,12.4,32.9,22.3,10.9,0.9,3.3,14.6,21.9,,0.1,0,0.1,0.119,,-1,0.2,-0.8,0
